,tp,tn,fp,fn,precision,recall,specificity,accuracy,f1_score,balanced_accuracy,num_feat_missing,imputed,dataset,source,scenario,random_state,metric
0,750,3862,811,577,48.05,56.52,82.64,76.87,51.94,69.58,0,,lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
1,485,4169,504,842,49.04,36.55,89.21,77.57,41.88,62.88,1,['PAY_DELAY_1M_AGO'] imputed,lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
2,442,4214,459,885,49.06,33.31,90.18,77.6,39.68,61.74,2,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
3,334,4351,322,993,50.91,25.17,93.11,78.08,33.69,59.14,3,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
4,302,4365,308,1025,49.51,22.76,93.41,77.78,31.18,58.08,4,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
5,307,4377,296,1020,50.91,23.13,93.67,78.07,31.81,58.4,5,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
6,310,4355,318,1017,49.36,23.36,93.19,77.75,31.71,58.28,6,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used', 'PAY_STATUS_2M_AGO_paid fully'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
7,215,4432,241,1112,47.15,16.2,94.84,77.45,24.12,55.52,7,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used', 'PAY_STATUS_2M_AGO_paid fully', 'PAY_DELAY_5M_AGO'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
8,16,4660,13,1311,55.17,1.21,99.72,77.93,2.36,50.46,8,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used', 'PAY_STATUS_2M_AGO_paid fully', 'PAY_DELAY_5M_AGO', 'PAY_STATUS_6M_AGO_paid fully', 'PAY_STATUS_6M_AGO_revolving credit used'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
9,0,4673,0,1327,0.0,0.0,100.0,77.88,0.0,50.0,9,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used', 'PAY_STATUS_2M_AGO_paid fully', 'PAY_DELAY_5M_AGO', 'PAY_STATUS_6M_AGO_paid fully', 'PAY_STATUS_6M_AGO_revolving credit used', 'PAY_DELAY_4M_AGO'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
10,0,4673,0,1327,0.0,0.0,100.0,77.88,0.0,50.0,10,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used', 'PAY_STATUS_2M_AGO_paid fully', 'PAY_DELAY_5M_AGO', 'PAY_STATUS_6M_AGO_paid fully', 'PAY_STATUS_6M_AGO_revolving credit used', 'PAY_DELAY_4M_AGO', 'PAY_STATUS_5M_AGO_paid fully', 'PAY_STATUS_5M_AGO_revolving credit used'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
11,0,4673,0,1327,0.0,0.0,100.0,77.88,0.0,50.0,11,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used', 'PAY_STATUS_2M_AGO_paid fully', 'PAY_DELAY_5M_AGO', 'PAY_STATUS_6M_AGO_paid fully', 'PAY_STATUS_6M_AGO_revolving credit used', 'PAY_DELAY_4M_AGO', 'PAY_STATUS_5M_AGO_paid fully', 'PAY_STATUS_5M_AGO_revolving credit used', 'SEX_male'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
12,0,4673,0,1327,0.0,0.0,100.0,77.88,0.0,50.0,12,"['PAY_DELAY_1M_AGO', 'LIMIT_BAL', 'PAY_DELAY_3M_AGO', 'BILL_AMT_1M_AGO', 'PAY_STATUS_1M_AGO_paid fully', 'PAY_STATUS_1M_AGO_revolving credit used', 'PAY_STATUS_2M_AGO_paid fully', 'PAY_DELAY_5M_AGO', 'PAY_STATUS_6M_AGO_paid fully', 'PAY_STATUS_6M_AGO_revolving credit used', 'PAY_DELAY_4M_AGO', 'PAY_STATUS_5M_AGO_paid fully', 'PAY_STATUS_5M_AGO_revolving credit used', 'SEX_male', 'PAY_STATUS_4M_AGO_paid fully', 'PAY_STATUS_4M_AGO_revolving credit used'] imputed",lr_perf,Default Credit Card,Scenario 1: standard,2024,f1 score
